venue_id,venue_lon,venue_lat,zone_id
ven_6766616e713152586e5374526b6f77595634454d5a37714a496843,-73.973303,40.784664,239
ven_676d735f5a644d594d4e43526b6f77616c433078735a664a496843,-73.9891648,40.7200222,148
ven_6776747147655a49456362526b6f775970346b506435334a496843,-73.9730595,40.7849326,239
ven_6777326f753853575a3875526b6f7759524643417333374a496843,-73.9889202,40.760397,48
ven_677a584d792d3872515771526b6f7759744977693362484a496843,-73.9788193,40.7781378,142
ven_677a6b384456717362517a526b6f775a314764555866484a496843,-73.9702123,40.7582203,162
ven_6b33335362354f62415f76526b6f7759565963366e37634a496843,-73.9734941,40.7842696,239
ven_6b3648306f6a476f504768526b6f775a68366f5a6261754a496843,-74.0005218,40.7471546,68
ven_6b4252475f792d6c5a5057526b6f775968653379652d394a496843,-73.964245,40.7643584,141
ven_6b476d4f456438784a6d66526b6f7759746f73505f364b4a496843,-73.980042,40.777616,142
ven_6b49317057486770392d52526b6f775a78756b736d30454a496843,-73.9807992,40.7831776,239
ven_6b61647667744a39587a64526b6f77594e46347458596f4a496843,-73.991841,40.7599217,48
ven_6b69536e344b337645554e526b6f775a5a5a764a55525f4a496843,-73.9999408,40.7338794,249
ven_6b735f37687a4c384b4c69526b6f77595a344156747a714a496843,-73.9777849,40.784271,239
ven_6b735f44766d736f7a796b526b6f7759563448652d624f4a496843,-73.9726719,40.7855246,239
ven_6b77366e314e6f6b72615a526b6f775a646841365758794a496843,-73.9808745,40.7742582,142
ven_6f3278704356366a453667526b6f7759527167502d53524a496843,-73.9536111,40.7825,236
ven_6f3970777349416b6b635a526b6f77594a4655377635704a496843,-73.9924645,40.7594201,48
ven_6f443454497a4b74587053526b6f775a524d596d6865794a496843,-73.9779183,40.7782965,142
ven_6f4d4d585279554f413278526b6f77596c6669713739334a496843,-73.977277,40.762523,161
ven_6f4e385436506f42426253526b6f775a314c72724e38484a496843,-73.9803543,40.7782554,142
ven_6f53534232357872613631526b6f7731336666523634794a496843,-73.9359283,40.7957236,74
ven_6f595061526b426975674e526b6f775a3570694e627a4e4a496843,-73.980098,40.778275,142
ven_6f61432d6942754d737746526b6f775970344a346851524a496843,-73.980857,40.779369,142
ven_6f735964364b4948356734526b6f77595a6f6d565f55384a496843,-73.9780435,40.787122,239
ven_6f786a366c6d6c51546b72526b6f7759706f54397933474a496843,-73.9804876,40.7778157,142
ven_7330663377497968657a68526b6f77594e3139724b51304a496843,-73.989071,40.760141,48
ven_73346149424d7857715942526b6f775a6876736d64304b4a496843,-73.9925595,40.7582293,48
ven_73373243427a7677647179526b6f77595a56676549666a4a496843,-73.9863,40.760885,230
